package,layer,framework
pic2vec,2,tensorflow
faceservice,2,tensorflow
melusine,2,tensorflow
cvae,2,tensorflow
JarvisAI,2,tensorflow
cdacal,2,tensorflow
tf-fits,2,tensorflow
tensorfree,2,tensorflow
hcai-nova-server,2,tensorflow
desc,2,tensorflow
punctuator-isl,2,tensorflow
ceml,2,tensorflow
loganalysispackage,2,tensorflow
tf-plan,2,tensorflow
upswingutil,2,tensorflow
adpkdsupporttool,2,tensorflow
mimir-visualizer,2,tensorflow
digcommpy,2,tensorflow
BSPPypi3,2,tensorflow
mapyllary,2,tensorflow
recsim-ng,2,tensorflow
snntoolbox,2,tensorflow
vtorch,2,tensorflow
progen-transformer,2,tensorflow
habana-tensorflow,2,tensorflow
StrawberryFields,2,tensorflow
aesahaettr,2,tensorflow
monk-cuda92,2,tensorflow
tigerseg,2,tensorflow
monk-cuda92-test,2,tensorflow
stardist-napari,2,tensorflow
chatspace,2,tensorflow
gdemandfcast,2,tensorflow
pyturbo,2,tensorflow
tensorflow-scientific,2,tensorflow
histomicstk,2,tensorflow
loganary-ranking,2,tensorflow
video-facenet,2,tensorflow
deepfeatx,2,tensorflow
crystal4D,2,tensorflow
anyrl,2,tensorflow
xplainet,2,tensorflow
notedrive,2,tensorflow
BERTVector,2,tensorflow
openspacetrainenv,2,tensorflow
mcnn,2,tensorflow
convo-new-version-abdo,2,tensorflow
B-profiler,2,tensorflow
chitra,2,tensorflow
xiRT,2,tensorflow
pyCeterisParibus,2,tensorflow
vineyard-ml,2,tensorflow
convo-engine,2,tensorflow
iracema,2,tensorflow
abmarl,2,tensorflow
ccAF,2,tensorflow
facex,2,tensorflow
mingdongnlp,2,tensorflow
xmnlp,2,tensorflow
benderthon,2,tensorflow
mroi-fd,2,tensorflow
densenet,2,tensorflow
image-classifier,2,tensorflow
tempocnn,2,tensorflow
curvlearn,2,tensorflow
lightelligence-model-visualization,2,tensorflow
headliner,2,tensorflow
rodan,2,tensorflow
russtress,2,tensorflow
dvt,2,tensorflow
ucbshift,2,tensorflow
embedding-as-service,2,tensorflow
visual-search-nets,2,tensorflow
facenet-sandberg,2,tensorflow
virtual-scanner,2,tensorflow
fedot,2,tensorflow
CarDEC,2,tensorflow
google-nucleus,2,tensorflow
hellohello,2,tensorflow
lingvo,2,tensorflow
jhsp,2,tensorflow
spacy-combo,2,tensorflow
segmentpy,2,tensorflow
sonnia,2,tensorflow
redbrick-sdk,2,tensorflow
keras-eval,2,tensorflow
tfhelper,2,tensorflow
pylat,2,tensorflow
ganondorf,2,tensorflow
ktext,2,tensorflow
cell-tracking-bc,2,tensorflow
tf-siren,2,tensorflow
deepse,2,tensorflow
sktime-dl,2,tensorflow
tensordiffeq,2,tensorflow
dial-gui,2,tensorflow
a3t,2,tensorflow
image-caption-generator-elizastarr,2,tensorflow
Junkyard,2,tensorflow
tensorshow,2,tensorflow
CoNSEPT,2,tensorflow
Itachi,2,tensorflow
nyoka,2,tensorflow
tf-spectral,2,tensorflow
tgan,2,tensorflow
nefesi,2,tensorflow
grai-profiler-one-vip,2,tensorflow
hyperparameter-hunter,2,tensorflow
datascience-toolkits,2,tensorflow
fromTxtToVec,2,tensorflow
mabandit,2,tensorflow
tf2show,2,tensorflow
gptf,2,tensorflow
datature-hub,2,tensorflow
simple-converge,2,tensorflow
TFNeuralNetworks,2,tensorflow
audiomodels,2,tensorflow
gimmick,2,tensorflow
color2vec,2,tensorflow
covid19-detection,2,tensorflow
euler2-gl,2,tensorflow
chatbot-nlu,2,tensorflow
coral-ordinal,2,tensorflow
bullseye_method,2,tensorflow
entity-embeddings-categorical,2,tensorflow
isofit,2,tensorflow
pyDSlib,2,tensorflow
tfserve,2,tensorflow
fastism,2,tensorflow
seedoku,2,tensorflow
grace-qui-face-mask-detection-model,2,tensorflow
Simba-UW-tf-dev,2,tensorflow
craynn,2,tensorflow
keras-surgeon,2,tensorflow
tfaip,2,tensorflow
VideoChatBot,2,tensorflow
hcai-models,2,tensorflow
snare-ml,2,tensorflow
Surreal,2,tensorflow
aletheia-relunet-unwrapper,2,tensorflow
mtnlpmodel,2,tensorflow
convo-nl2,2,tensorflow
mantis-ml,2,tensorflow
deepbgc,2,tensorflow
twodlearn,2,tensorflow
sunriseces,2,tensorflow
trelawney,2,tensorflow
pyfiction,2,tensorflow
ospark,2,tensorflow
scScope,2,tensorflow
pengu,2,tensorflow
keras-adamw,2,tensorflow
mogptk,2,tensorflow
rddl2tf,2,tensorflow
ivis,2,tensorflow
fawkes,2,tensorflow
vegasflow,2,tensorflow
clarinpl-embeddings,2,tensorflow
cdt-test,2,tensorflow
TrackEverything,2,tensorflow
medicalai,2,tensorflow
vitamin-b,2,tensorflow
dnnviewer,2,tensorflow
simhandler,2,tensorflow
keras-data-format-converter,2,tensorflow
pyism,2,tensorflow
ddsp,2,tensorflow
CTRs,2,tensorflow
mcfly,2,tensorflow
scoach,2,tensorflow
tf-big,2,tensorflow
qibo,2,tensorflow
tf2-vgpu,2,tensorflow
tflite-model-maker-nightly,2,tensorflow
automl-lib,2,tensorflow
vidtrain,2,tensorflow
neuralintents,2,tensorflow
pyvitae,2,tensorflow
maskrcnnkeras,2,tensorflow
tflyrics,2,tensorflow
dvm,2,tensorflow
huskarl,2,tensorflow
pd2tfrecord,2,tensorflow
carla-recourse,2,tensorflow
A-profiler,2,tensorflow
arkab,2,tensorflow
tf-encrypt,2,tensorflow
magenta-gpu,2,tensorflow
rasa-contrib,2,tensorflow
persephone,2,tensorflow
galsim-hub,2,tensorflow
tf-pde,2,tensorflow
alibi,2,tensorflow
easierai-common-functions,2,tensorflow
tensorflow-deploy-utils,2,tensorflow
ludwig-myelin,2,tensorflow
innatis,2,tensorflow
tf-noisy-image-dataset,2,tensorflow
fer,2,tensorflow
pytorch-es,2,tensorflow
tf-crf-layer,2,tensorflow
email-text-classify,2,tensorflow
inceptiontube,2,tensorflow
bmstu-ovchinnikov-capsnet,2,tensorflow
datupapi,2,tensorflow
tensorflow-kernels,2,tensorflow
py-serv,2,tensorflow
beefly,2,tensorflow
moodleinspire,2,tensorflow
siVAE,2,tensorflow
ingine,2,tensorflow
Omnis,2,tensorflow
cressp2,2,tensorflow
xanthus,2,tensorflow
commonMethods-zhaozl,2,tensorflow
monk-keras-cuda100,2,tensorflow
expert-mst,2,tensorflow
numericalpoissongeometry,2,tensorflow
train-unet,2,tensorflow
pydta-test,2,tensorflow
gordo,2,tensorflow
chia,2,tensorflow
picsellia-tf2,2,tensorflow
megnet,2,tensorflow
keract,2,tensorflow
unityagents,2,tensorflow
inaSpeechSegmenter,2,tensorflow
drlgeb,2,tensorflow
librec-auto,2,tensorflow
AutoChatbot,2,tensorflow
tfds-korean,2,tensorflow
aisaratuners,2,tensorflow
tensorflow-play,2,tensorflow
baseten,2,tensorflow
crossedwires,3,tensorflow
dffml-model-tensorflow-hub,3,tensorflow
mathy,3,tensorflow
pyhumour,3,tensorflow
metahuman,3,tensorflow
perceptilabs,3,tensorflow
deepflash2,3,tensorflow
ms2rescore,3,tensorflow
let-me-answer-for-you,3,tensorflow
gdslib,3,tensorflow
segmentation-pipeline,3,tensorflow
cde,3,tensorflow
bavard,3,tensorflow
acv-exp,3,tensorflow
azureml-automl-dnn-nlp,3,tensorflow
rasa-ext-plugin,3,tensorflow
arkab,3,tensorflow
tfdsio,3,tensorflow
Potofox,3,tensorflow
SubBrainSegment,3,tensorflow
PLANBERT,3,tensorflow
nmrgnn,3,tensorflow
stVAE,3,tensorflow
tfrecorder,3,tensorflow
underthesea,3,tensorflow
optimization-dashboard,3,tensorflow
dltkdl,3,tensorflow
animalai-train,3,tensorflow
explainaboard,3,tensorflow
poros,3,tensorflow
ddsp,3,tensorflow
zangorth-helpers,3,tensorflow
zfit-physics,3,tensorflow
msexpert,3,tensorflow
paso,3,tensorflow
sonnia,3,tensorflow
playground,3,tensorflow
sikufenci,3,tensorflow
witwidget,3,tensorflow
polymuse-future,3,tensorflow
hyperactive,3,tensorflow
convo5,3,tensorflow
attention-tensorflow-mesh,3,tensorflow
astrorapid,3,tensorflow
inn,3,tensorflow
treform,3,tensorflow
gplot,3,tensorflow
paddlenlp,3,tensorflow
aebo,3,tensorflow
blobcity,3,tensorflow
piex,3,tensorflow
retinaface-pytorch,3,tensorflow
orion-ml,3,tensorflow
paddle-tokenizer,3,tensorflow
canaro,3,tensorflow
das,3,tensorflow
dashes3,3,tensorflow
tf-fastmri-data,3,tensorflow
tensorview,3,tensorflow
eaas,3,tensorflow
pyleafarea,3,tensorflow
mlserver-alibi-detect,3,tensorflow
TextLab,3,tensorflow
magenta,3,tensorflow
tensorflow-wavelets,3,tensorflow
onnx-tf,3,tensorflow
malaya-gpu,3,tensorflow
GenericNeuralAssistant,3,tensorflow
metahuman-0.1,3,tensorflow
top2vec,3,tensorflow
misic-napari-plugin,3,tensorflow
tfdsio,4,tensorflow
categorical-embedder,4,tensorflow
paddlehub,4,tensorflow
paddlefsl,4,tensorflow
deluca,4,tensorflow
cloths-segmentation,4,tensorflow
capcruncher,4,tensorflow
check-orientation,4,tensorflow
DockerENT,4,tensorflow
genereg,4,tensorflow
espnet,4,tensorflow
tuhlbox,4,tensorflow
zangorth-streamlit,4,tensorflow
streamlitlearn,4,tensorflow
hopstools,4,tensorflow
bdrk,4,tensorflow
azureml-train-automl,4,tensorflow
winmltools,4,tensorflow
machine-learning-datasets,4,tensorflow
oracle-ads,4,tensorflow
mlprimitives,4,tensorflow
datascience-toolkits,4,tensorflow
categorical-embedder,4,tensorflow
bert-multitask-learning,4,tensorflow
omdenalore,4,tensorflow
midv500models,4,tensorflow
greenguard,4,tensorflow
tflite-model-maker-nightly,4,tensorflow
fairensics,4,tensorflow
rasa-contrib,4,tensorflow
rpunct,4,tensorflow
espnet-tts-frontend,4,tensorflow
dnnmodels,4,tensorflow
ailab-lite,4,tensorflow
gdslib,4,tensorflow
cellfinder,4,tensorflow
auto-query-cluster,4,tensorflow
retinaface-pytorch,4,tensorflow
people-segmentation,4,tensorflow
sports-news-collector,4,tensorflow
pynipt-plugin-uncch-camri,4,tensorflow
fairmlhealth,4,tensorflow
miping,4,tensorflow
tfdsio,4,tensorflow
farm-haystack,4,tensorflow
magenta,4,tensorflow
SiPANN,4,tensorflow
tff-utils,4,tensorflow
Orange3-MNE,4,tensorflow
happy-learning,4,tensorflow
animated-memory,4,tensorflow
tuneflow,4,tensorflow
simplexfmr-artifact,4,tensorflow
orion-ml,4,tensorflow
seacorenlp,4,tensorflow
notefight,4,tensorflow
emepy,4,tensorflow
genie-parser,4,tensorflow
syncnote,4,tensorflow
OpenNIR-XPM,4,tensorflow
mlsquare,4,tensorflow
espnet-model-zoo,4,tensorflow
aimodelshare,4,tensorflow
condolence-models,4,tensorflow
ais-wordnet-sim,4,tensorflow
smaberta,4,tensorflow
azureml-automl-runtime,4,tensorflow
espec,4,tensorflow
ukuxhumana,4,tensorflow
auto-orion,4,tensorflow
tensor2tensor,4,tensorflow
paddlehub,4,tensorflow
uncertainty-baselines,4,tensorflow
magenta-gpu,4,tensorflow
t5,4,tensorflow
Orange-3-MNE-Widgets,4,tensorflow
deepsegment,4,tensorflow
trax,4,tensorflow
cardea,4,tensorflow
description2process,4,tensorflow
IBATS-Huobi-Trader,4,tensorflow
tflite-model-maker,4,tensorflow
torchlite,4,tensorflow
mlops-tempo,4,tensorflow
musket-ml,4,tensorflow
azureml-train-automl-runtime,4,tensorflow
azureml-automl-core,4,tensorflow
mlbazaar,4,tensorflow
IBATS-BitMex-Trader,4,tensorflow
azureml-contrib-automl-dnn-vision,5,tensorflow
azureml-contrib-automl-dnn-vision,5,tensorflow
azureml-automl-dnn-vision,5,tensorflow
lecture-transcriber,5,tensorflow
azureml-automl-dnn-nlp,5,tensorflow
azureml-train-automl,5,tensorflow
azureml-contrib-automl-dnn-forecasting,5,tensorflow
text-gen,5,tensorflow
espnet,5,tensorflow
paddlex,5,tensorflow
bpnlp,5,tensorflow
paddlexrest,6,tensorflow
cogdl,2,pytorch
pau,2,pytorch
ai-core,2,pytorch
circFL-deep,2,pytorch
fonduer,2,pytorch
gdrf,2,pytorch
textflint,2,pytorch
autoalbument,2,pytorch
dqc,2,pytorch
mogrifier,2,pytorch
deeprank,2,pytorch
fastbert,2,pytorch
simple-hierarchy-pytorch,2,pytorch
torchio,2,pytorch
toy,2,pytorch
monk-pytorch-cuda102,2,pytorch
TripletTorch,2,pytorch
quarks2-fractal,2,pytorch
pandatorch,2,pytorch
time-series-transformer,2,pytorch
FFTA,2,pytorch
wav2clip,2,pytorch
luz,2,pytorch
torchfunc-nightly,2,pytorch
cca-zoo,2,pytorch
mwptoolkit,2,pytorch
vsbasicvsrpp,2,pytorch
nixtlats,2,pytorch
kogpt2-transformers,2,pytorch
torchrecorder,2,pytorch
metlibvi,2,pytorch
stVAE,2,pytorch
grai-Profiler,2,pytorch
fvgp,2,pytorch
hopsparser,2,pytorch
odds,2,pytorch
avaxtar,2,pytorch
res-mlp-pytorch,2,pytorch
junkdetect,2,pytorch
datastacks,2,pytorch
sacking,2,pytorch
cplxmodule,2,pytorch
posecamera,2,pytorch
bottleneck-transformer-pytorch,2,pytorch
westac-parlaclarin-pipeline,2,pytorch
rxnfp,2,pytorch
ucbshift,2,pytorch
laplace-torch,2,pytorch
ribodetector,2,pytorch
baal,2,pytorch
thop,2,pytorch
TorchDiffEqPack,2,pytorch
geotorch,2,pytorch
pytorch-nlp,2,pytorch
conformer-rl,2,pytorch
thumt,2,pytorch
mockInterview,2,pytorch
echo-lv,2,pytorch
speechbrain,2,pytorch
data-stack,2,pytorch
musicae,2,pytorch
resnest,2,pytorch
causal-selection,2,pytorch
frenchnlp,2,pytorch
torch-audiomentations,2,pytorch
perturb-tools,2,pytorch
sktmls,2,pytorch
condensa,2,pytorch
depp,2,pytorch
affordable,2,pytorch
deepforest-pytorch,2,pytorch
vectorops,2,pytorch
tensorcheck,2,pytorch
pytorch-transformers-pvt-nightly,2,pytorch
deepnog,2,pytorch
3d-connectX-env,2,pytorch
yolov5evaluator,2,pytorch
mix-mavis,2,pytorch
zisan,2,pytorch
ilpyt,2,pytorch
kagemeka,2,pytorch
vsrife,2,pytorch
norse,2,pytorch
timesformer-pytorch,2,pytorch
datasetinsights,2,pytorch
dl-ext,2,pytorch
proximal-gradient,2,pytorch
B-profiler,2,pytorch
rfconv,2,pytorch
efficientnet-lite-pytorch,2,pytorch
audio2text,2,pytorch
dssm,2,pytorch
fdet-offline-mobilenet-weights,2,pytorch
QGrain,2,pytorch
stanfordnlp,2,pytorch
unipose,2,pytorch
homura-core,2,pytorch
x-deep,2,pytorch
torchmed,2,pytorch
pyhac,2,pytorch
clip-retrieval,2,pytorch
interpret-text,2,pytorch
torch-text-classifier,2,pytorch
rdv,2,pytorch
JT-Techfield,2,pytorch
face-detection,2,pytorch
ESRNN,2,pytorch
anime-face-detector,2,pytorch
torchmcubes,2,pytorch
eye2you,2,pytorch
tablearn,2,pytorch
ontolearn,2,pytorch
pytorch-bert,2,pytorch
textformer,2,pytorch
torchwisdom,2,pytorch
pytorch_revgrad,2,pytorch
explainable-ai-image-measures,2,pytorch
madminer,2,pytorch
name-entity-extraction-for-contextual-embedding,2,pytorch
dask-pytorch-ddp,2,pytorch
sinzident,2,pytorch
Sagitta,2,pytorch
octid,2,pytorch
objifier,2,pytorch
involution-pytorch,2,pytorch
unmass,2,pytorch
ganslate,2,pytorch
omdenalore,2,pytorch
aft-pt,2,pytorch
sbibm,2,pytorch
sc2env,2,pytorch
boolean-question,2,pytorch
pycollector,2,pytorch
scTAPE,2,pytorch
gga-csm,2,pytorch
transfomers-controllers,2,pytorch
pull-the-pitcher,2,pytorch
winningticket,2,pytorch
torchbench,2,pytorch
ddlk,2,pytorch
rational-activations-cu102,2,pytorch
sabhi-utils,2,pytorch
storeweights,2,pytorch
molecule-attention-transformer,2,pytorch
jiant,2,pytorch
dwtls,2,pytorch
firelight,2,pytorch
pysentimiento,2,pytorch
learnergy,2,pytorch
numericalpoissongeometry,2,pytorch
SENDA,2,pytorch
aiqc,2,pytorch
training-grounds,2,pytorch
DynEnv,2,pytorch
jax-lightning,2,pytorch
